Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
newy32aoa,atla,1225km,9.09,68.06%,18.06ms,18.79ms,0.13ms,2021-12-31 08:00:55
newy32aoa,chic,1175km,10.545,55.95%,21.02ms,21.16ms,0.16ms,2021-12-31 08:09:13
newy32aoa,hous,2309km,17.82,65.97%,35.49ms,35.91ms,0.29ms,2021-12-31 08:19:08
newy32aoa,kans,1790km,15.745,57.74%,31.40ms,31.88ms,0.19ms,2021-12-31 08:21:58
newy32aoa,losa,3966km,36.55,54.33%,72.89ms,73.32ms,0.22ms,2021-12-31 08:26:01
newy32aoa,salt,3196km,26.96,60.30%,53.81ms,54.14ms,0.13ms,2021-12-31 07:38:47
newy32aoa,seat,3892km,36.655,53.32%,73.20ms,73.53ms,0.28ms,2021-12-31 07:41:00
newy32aoa,wash,374km,4.55,41.56%,8.86ms,9.17ms,0.14ms,2021-12-31 07:48:17
chic,atla,945km,11.075,42.95%,22.05ms,22.39ms,0.08ms,2021-12-31 08:00:55
chic,hous,1512km,16.49,47.25%,32.81ms,33.19ms,0.23ms,2021-12-31 08:19:08
chic,kans,660km,6.88,50.77%,13.69ms,13.80ms,0.13ms,2021-12-31 08:21:58
chic,losa,2802km,29.345,48.31%,58.50ms,58.94ms,0.32ms,2021-12-31 08:26:01
chic,newy32aoa,1175km,10.77,55.95%,21.47ms,21.96ms,0.16ms,2021-12-31 07:31:42
chic,salt,2021km,18.14,56.14%,36.19ms,36.57ms,0.24ms,2021-12-31 07:38:46
chic,seat,2789km,27.815,50.71%,55.56ms,55.85ms,0.13ms,2021-12-31 07:41:00
chic,wash,925km,10.605,44.05%,20.66ms,22.12ms,0.31ms,2021-12-31 07:48:17
atla,chic,945km,11.2,42.95%,22.27ms,22.66ms,0.13ms,2021-12-31 08:09:13
atla,hous,1127km,9.535,59.32%,18.87ms,19.51ms,0.15ms,2021-12-31 08:19:08
atla,kans,1087km,12.84,43.48%,25.53ms,25.99ms,0.09ms,2021-12-31 08:21:58
atla,losa,3111km,24.675,63.49%,49.11ms,49.56ms,0.28ms,2021-12-31 08:26:01
atla,newy32aoa,1225km,9.085,68.06%,18.08ms,18.46ms,0.16ms,2021-12-31 08:31:42
atla,salt,2543km,25.0,50.86%,49.91ms,50.20ms,0.30ms,2021-12-31 07:38:46
atla,seat,3506km,35.825,49.38%,71.54ms,71.85ms,0.21ms,2021-12-31 07:41:00
atla,wash,854km,6.185,71.17%,11.99ms,13.06ms,0.39ms,2021-12-31 07:48:17
hous,atla,1127km,9.54,59.32%,18.82ms,19.59ms,0.16ms,2021-12-31 08:00:55
hous,chic,1512km,16.55,45.82%,32.91ms,34.51ms,0.30ms,2021-12-31 08:09:13
hous,kans,1040km,8.295,65.00%,16.39ms,16.89ms,0.19ms,2021-12-31 08:21:58
hous,losa,2207km,21.01,52.55%,41.73ms,42.31ms,0.18ms,2021-12-31 08:26:01
hous,newy32aoa,2309km,17.855,65.97%,35.46ms,36.08ms,0.14ms,2021-12-31 08:31:42
hous,salt,1929km,15.69,62.23%,31.19ms,31.85ms,0.27ms,2021-12-31 07:38:46
hous,seat,3041km,26.39,58.48%,52.59ms,52.99ms,0.24ms,2021-12-31 07:41:00
hous,wash,1936km,14.18,69.14%,27.65ms,36.90ms,1.61ms,2021-12-31 07:48:17
kans,atla,1087km,12.805,43.48%,25.48ms,25.77ms,0.15ms,2021-12-31 08:00:55
kans,chic,660km,6.815,50.77%,13.56ms,13.72ms,0.12ms,2021-12-31 08:09:13
kans,hous,1040km,8.26,65.00%,16.35ms,16.88ms,0.15ms,2021-12-31 08:19:08
kans,losa,2180km,21.33,51.90%,42.45ms,42.84ms,0.26ms,2021-12-31 08:26:01
kans,newy32aoa,1790km,15.725,57.74%,31.41ms,31.51ms,0.19ms,2021-12-31 08:31:42
kans,salt,1484km,11.535,64.52%,22.96ms,23.18ms,0.21ms,2021-12-31 07:38:46
kans,seat,2419km,21.04,57.60%,41.95ms,42.20ms,0.22ms,2021-12-31 07:41:00
kans,wash,1483km,14.545,51.14%,28.89ms,29.28ms,0.23ms,2021-12-31 07:48:17
losa,atla,3111km,24.565,63.49%,48.89ms,49.24ms,0.19ms,2021-12-31 08:00:55
losa,chic,2802km,29.04,48.31%,57.81ms,58.18ms,0.32ms,2021-12-31 08:09:13
losa,hous,2207km,21.025,52.55%,41.79ms,42.32ms,0.25ms,2021-12-31 08:19:08
losa,kans,2180km,21.435,51.90%,42.60ms,43.03ms,0.25ms,2021-12-31 08:21:58
losa,newy32aoa,3966km,36.585,54.33%,72.98ms,73.48ms,0.10ms,2021-12-31 08:31:42
losa,salt,932km,7.755,62.13%,15.06ms,18.55ms,0.60ms,2021-12-31 07:38:46
losa,seat,1546km,16.525,46.85%,32.91ms,33.12ms,0.22ms,2021-12-31 07:41:00
losa,wash,3662km,33.805,54.66%,66.79ms,69.46ms,0.58ms,2021-12-31 07:48:17
salt,atla,2543km,25.045,50.86%,49.96ms,50.30ms,0.13ms,2021-12-31 08:00:55
salt,chic,2021km,18.135,56.14%,36.17ms,36.39ms,0.22ms,2021-12-31 08:09:14
salt,hous,1929km,15.695,62.23%,31.14ms,31.63ms,0.24ms,2021-12-31 08:19:08
salt,kans,1484km,11.585,64.52%,23.00ms,23.31ms,0.21ms,2021-12-31 08:21:58
salt,losa,932km,7.715,62.13%,15.10ms,16.16ms,0.28ms,2021-12-31 08:26:01
salt,newy32aoa,3196km,27.015,59.19%,53.91ms,54.27ms,0.08ms,2021-12-31 08:31:42
salt,seat,1128km,10.955,53.71%,21.82ms,22.02ms,0.15ms,2021-12-31 07:41:00
salt,wash,2933km,28.985,51.46%,57.56ms,58.43ms,0.34ms,2021-12-31 07:48:18
seat,atla,3506km,35.79,49.38%,71.47ms,71.90ms,0.36ms,2021-12-31 08:00:55
seat,chic,2789km,27.755,50.71%,55.43ms,55.63ms,0.04ms,2021-12-31 08:09:14
seat,hous,3041km,26.355,58.48%,52.53ms,52.99ms,0.31ms,2021-12-31 08:19:08
seat,kans,2419km,21.045,57.60%,42.00ms,42.24ms,0.26ms,2021-12-31 08:21:58
seat,losa,1546km,16.48,48.31%,32.79ms,33.08ms,0.17ms,2021-12-31 08:26:01
seat,newy32aoa,3892km,36.66,53.32%,73.25ms,73.65ms,0.35ms,2021-12-31 08:31:42
seat,salt,1128km,10.93,53.71%,21.75ms,22.12ms,0.12ms,2021-12-31 07:38:47
seat,wash,3707km,34.38,54.51%,68.23ms,70.43ms,0.64ms,2021-12-31 07:48:18
wash,atla,854km,6.665,65.69%,13.14ms,16.17ms,0.63ms,2021-12-31 08:00:55
wash,chic,925km,10.605,44.05%,21.07ms,21.84ms,0.23ms,2021-12-31 08:09:14
wash,hous,1936km,14.04,69.14%,27.18ms,28.20ms,0.34ms,2021-12-31 08:19:08
wash,kans,1483km,14.52,51.14%,28.19ms,29.21ms,0.34ms,2021-12-31 08:21:58
wash,losa,3662km,33.635,54.66%,67.18ms,67.80ms,0.34ms,2021-12-31 08:26:01
wash,newy32aoa,374km,4.145,46.75%,8.14ms,10.17ms,0.39ms,2021-12-31 08:31:42
wash,salt,2933km,28.645,51.46%,57.21ms,58.25ms,0.36ms,2021-12-31 07:38:47
wash,seat,3707km,34.165,54.51%,68.18ms,69.80ms,0.37ms,2021-12-31 07:41:00
